Dc31YMXxg8T	0	0	1	0	0	268
Dc1xoZtlc87	0	0	0	0	0	157
Dc0ujSfPTs8	0	0	1	0	0	711
DczWVYQPaQQ	0	0	0	0	0	39
DczJMdlvB7M	0	0	1	1	0	330
DcynSn3RFLL	1	1	1	0	0	495
DcyJSK1v1WN	0	0	0	0	0	367
DcvlD_8vI6c	0	0	0	0	0	893
DcqoLlHPtMO	0	0	0	0	1	503
Dco2g6nld29	0	0	0	0	0	51
DcmSgQiP6Xy	0	0	1	0	0	642
DckT2i2PHAs	0	0	0	0	0	493
DcjWiHZFZ9k	0	0	0	0	0	682
DchgmnXPRQK	0	0	0	0	0	1025
Dcgka0FlcV1	0	0	0	0	0	26
DccIkL5PE_z	0	0	1	1	0	603
Dca-mU1vWjW	1	1	1	0	0	388
DcaAD8rlR6r	0	0	0	0	0	41
DcUzOI6lWPa	1	0	0	1	0	910
DcUDdgApTbC	0	0	0	0	0	41
DcQ0rajvcoC	0	0	0	0	0	116
DcKImPcvRqw	1	0	1	0	0	337
DcGPcs_Pjrv	0	0	1	0	0	84
DcFhtVwlQaX	0	0	0	0	0	367
DcE_SY6FU1S	0	0	1	0	0	312
DcCzW4JMurQ	0	0	0	0	0	27
DcBXvPgFVXh	0	0	0	0	0	93
DcAZbdAv64T	0	0	0	0	1	318
Db98lWYPchA	0	0	1	0	0	174
Db9Yr-wv18Z	0	0	1	0	0	295
Db8zSMQv3F3	0	0	1	0	0	701
Db6k9wBP9S4	0	0	0	0	0	219
Db6E8x1PcEo	0	0	0	0	0	173
Db1TcTAPTZl	0	0	0	0	0	59
DbtIKWQPGX1	0	0	0	0	0	34
DbrGM7xlac5	0	0	0	0	0	686
Dbp6kIjPv6E	0	0	0	0	1	456
DbnuSB6PL-j	0	0	0	0	0	942
Dbmzfo7Pe8_	0	0	1	0	0	997
DbihZoaldUQ	0	0	0	0	0	234
Dbg28L4vb5m	0	0	0	0	0	348
Dbg0K7AlX8I	0	0	0	0	0	54
Dberm90vtWP	0	0	0	0	0	277
DbeHxIAPKUw	0	0	1	0	0	509
DbdnS-1vaPT	0	0	1	0	0	722
Dbb-0nRvb5M	0	0	0	0	0	57
Dba7VXZPHCC	0	0	0	0	1	934
DbZzi7nFfaj	0	0	0	0	0	107
DbZF0OUPVNY	0	0	0	0	0	139
DbYo-zNvaiD	0	0	0	0	0	265
DbXKlAwla1F	0	0	0	0	0	4
DbWhFLSvgJn	0	0	0	0	0	546
DbV3TJxvuEO	0	0	0	0	0	581
DbUlWyWv_7_	0	0	0	0	0	397
DbT7LJ7vdhq	0	0	0	0	0	390
DbTq2hJPjH7	0	0	1	1	0	671
DbSCDB1lWPn	0	0	1	0	1	982
